File -> Method -> CC
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> setId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> getExtendedAnswers -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> setExtendedAnswers -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> getVariantAnswers -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> toString -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> getIs_extended -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> setId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> getTags -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> setTags -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> getQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java -> setQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> setId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getUser -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> setUser -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getInformation -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> setInformation -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getSearchInformation -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> isCensored -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> setCensored -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getBlackList -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> getFavList -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> equals -> 3
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> hashCode -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> toString -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> addBlack -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> addFav -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> delFav -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java -> delBlack -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> setId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> getFactor -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> setFactor -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> getQuestionnaire1 -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> setQuestionnaire1 -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> getQuestionnaire2 -> 1
